iter	RMSE
0	0.1097669075
1	0.1094991115
2	0.109281628
3	0.1090797776
4	0.108894445
5	0.1087026061
6	0.108509861
7	0.1083574609
8	0.1082256175
9	0.1081282908
10	0.1079991216
11	0.1078821386
12	0.1077847784
13	0.1077069352
14	0.1076243331
15	0.1075331156
16	0.107466853
17	0.1073730858
18	0.1073131195
19	0.1072466027
20	0.1071951511
21	0.1071319535
22	0.1070895562
23	0.1070294251
24	0.1069598915
25	0.1069152548
26	0.1068795546
27	0.1068265785
28	0.1067853667
29	0.1067474128
30	0.1067166488
31	0.1066820236
32	0.1066531379
33	0.106618849
34	0.1065831804
35	0.10655625
36	0.1065040778
37	0.1064610849
38	0.1064394271
39	0.1063941726
40	0.1063616488
41	0.1063308567
42	0.1062953003
43	0.1062639997
44	0.1062245638
45	0.1061917491
46	0.1061618697
47	0.1061202264
48	0.1060978951
49	0.1060727549
50	0.1060413886
51	0.1060215174
52	0.1059957188
53	0.1059638927
54	0.105946677
55	0.1059284407
56	0.105902859
57	0.1058756537
58	0.1058551702
59	0.1058355278
60	0.1058093362
61	0.1057918555
62	0.1057728429
63	0.1057479433
64	0.1057358692
65	0.1057141647
66	0.1056965363
67	0.1056762582
68	0.1056671411
69	0.1056502793
70	0.1056368671
71	0.105625675
72	0.1056029689
73	0.1055875926
74	0.1055704597
75	0.1055628055
76	0.1055493341
77	0.1055334752
78	0.1055215689
79	0.1054944636
80	0.1054662269
81	0.1054505299
82	0.1054338981
83	0.1054288749
84	0.1054192551
85	0.1054058798
86	0.1053922138
87	0.1053774146
88	0.1053626254
89	0.1053471778
90	0.1053313185
91	0.1053239239
92	0.1053099944
93	0.1053018575
94	0.1052897202
95	0.1052826359
96	0.1052693757
97	0.105257789
98	0.1052388126
99	0.1052185608
100	0.1052059677
101	0.1051894661
102	0.1051795108
103	0.1051610389
104	0.105143927
105	0.1051364287
106	0.1051243508
107	0.1051151315
108	0.1051053924
109	0.1050901726
110	0.1050820729
111	0.1050732001
112	0.1050629862
113	0.1050484244
114	0.1050331843
115	0.1050214266
116	0.1050139377
117	0.1050073301
118	0.1049890453
119	0.1049823637
120	0.1049722377
121	0.1049619235
122	0.1049498979
123	0.1049389166
124	0.1049269791
125	0.1049137889
126	0.104899684
127	0.1048872703
128	0.1048813925
129	0.1048699989
130	0.1048560816
131	0.1048452841
132	0.1048292521
133	0.104820981
134	0.1048132115
135	0.1047989176
136	0.1047899663
137	0.1047798519
138	0.1047721702
139	0.1047654324
140	0.1047573379
141	0.1047458278
142	0.1047297381
143	0.1047222345
144	0.1047105327
145	0.1047013194
146	0.1046847443
147	0.1046755469
148	0.1046685968
149	0.1046519498
150	0.1046437738
151	0.1046332514
152	0.1046199271
153	0.1046126095
154	0.1046024296
155	0.1045956019
156	0.1045859237
157	0.1045796347
158	0.1045728238
159	0.1045614147
160	0.1045525037
161	0.1045459155
162	0.1045393511
163	0.1045329987
164	0.1045242916
165	0.104514455
166	0.1045061833
167	0.1044990399
168	0.1044917867
169	0.1044876166
170	0.1044760525
171	0.1044715783
