iter	Passed	Remaining
0	21	21148
1	39	19501
2	60	20264
3	80	20014
4	100	19915
5	118	19699
6	138	19610
7	157	19584
8	186	20489
9	205	20297
10	221	19951
11	239	19689
12	256	19469
13	274	19361
14	292	19191
15	312	19193
16	330	19086
17	348	18996
18	366	18915
19	386	18952
20	402	18785
21	420	18705
22	439	18664
23	458	18627
24	476	18576
25	492	18455
26	508	18324
27	524	18210
28	542	18154
29	559	18082
30	576	18017
31	592	17915
32	606	17779
33	623	17724
34	643	17730
35	659	17655
36	678	17651
37	698	17678
38	715	17640
39	733	17604
40	750	17560
41	769	17559
42	786	17498
43	804	17470
44	822	17452
45	841	17456
46	861	17464
47	879	17444
48	895	17381
49	911	17326
50	931	17337
51	947	17278
52	964	17242
53	983	17231
54	999	17168
55	1015	17119
56	1034	17107
57	1051	17083
58	1072	17098
59	1089	17068
60	1107	17048
61	1124	17014
62	1140	16960
63	1163	17013
64	1182	17008
65	1201	16996
66	1217	16958
67	1235	16939
68	1251	16890
69	1269	16871
70	1287	16844
71	1304	16817
72	1322	16798
73	1340	16777
74	1359	16761
75	1376	16733
76	1394	16715
77	1415	16727
78	1433	16711
79	1451	16697
80	1470	16680
81	1488	16659
82	1504	16621
83	1520	16582
84	1538	16557
85	1555	16530
86	1572	16502
87	1590	16478
88	1608	16464
89	1626	16440
90	1643	16412
91	1658	16366
92	1674	16329
93	1690	16292
94	1708	16274
95	1723	16230
96	1740	16205
97	1759	16191
98	1776	16170
99	1796	16166
100	1812	16134
101	1831	16123
102	1848	16094
103	1866	16080
104	1883	16053
105	1899	16017
106	1916	15995
107	1937	15998
108	1954	15976
109	1971	15950
110	1987	15920
111	2002	15880
112	2019	15848
113	2036	15827
114	2054	15806
115	2070	15775
116	2085	15742
117	2102	15714
118	2121	15705
119	2139	15686
120	2157	15671
121	2177	15667
122	2194	15648
123	2214	15642
124	2229	15605
125	2249	15603
126	2269	15599
127	2288	15588
128	2304	15559
129	2322	15540
130	2341	15530
131	2359	15513
132	2381	15522
133	2398	15500
134	2416	15481
135	2436	15478
136	2454	15458
137	2472	15444
138	2488	15416
139	2503	15381
140	2520	15354
141	2537	15335
142	2554	15310
143	2571	15288
144	2590	15277
145	2607	15251
146	2625	15234
147	2643	15216
148	2660	15192
149	2678	15178
150	2695	15153
151	2712	15134
152	2732	15128
153	2749	15106
154	2770	15105
155	2789	15094
156	2807	15074
157	2823	15045
158	2838	15013
159	2854	14987
160	2872	14970
161	2889	14948
162	2906	14922
163	2921	14893
164	2940	14878
165	2957	14861
166	2974	14838
167	2992	14818
168	3010	14804
169	3027	14782
170	3046	14770
171	3063	14747
172	3082	14734
173	3099	14713
174	3120	14712
175	3137	14689
176	3155	14673
177	3174	14659
178	3193	14645
179	3212	14633
180	3230	14619
181	3251	14615
182	3268	14593
183	3284	14566
184	3303	14552
185	3320	14533
186	3338	14512
187	3356	14496
188	3373	14475
189	3391	14459
190	3409	14440
191	3426	14418
192	3441	14390
193	3459	14372
194	3476	14353
195	3495	14340
196	3513	14323
197	3531	14303
198	3548	14282
199	3566	14264
200	3583	14244
201	3600	14225
202	3618	14205
203	3634	14181
204	3649	14154
205	3665	14126
206	3682	14105
207	3699	14087
